 Date,Time,From,Time,To,Fare,Credit,Balance
 05/Oct/2023,17:02 PM,Adelaide St at City Hall (Stop 20) ,17:14 PM,Light Street - 7 ,$1.78,,$8.37
 06/Oct/2023,,,7:15:00 AM,Adelaide St opp City Hall (Stop 43) ,$0.00,,$6.59
 08/Oct/2023,9:56:00 AM,James Street - 6 ,10:05:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.42,,$5.17
 08/Oct/2023,13:29 PM,Adelaide St app Hutton L (Stop 28) ,13:35 PM,Light Street - 7 ,$0.71,,$4.46
 09/Oct/2023,7:13:00 AM,Auto top up(James Street - 6 ),,,,$20.00,$24.46
 09/Oct/2023,7:13:00 AM,James Street - 6 ,7:21:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$22.68
 09/Oct/2023,13:31 PM,Adelaide St at City Hall (Stop 20) ,13:40 PM,Light Street - 7 ,$1.42,,$21.26
 11/Oct/2023,7:06:00 AM,James Street - 6 ,7:14:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$19.48
 11/Oct/2023,16:59 PM,Adelaide St at City Hall (Stop 20) ,17:12 PM,Light Street - 7 ,$1.78,,$17.70
 12/Oct/2023,7:13:00 AM,James Street - 6 ,7:22:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$15.92
 12/Oct/2023,18:22 PM,Adelaide St at City Hall (Stop 20) ,18:32 PM,Light Street - 7 ,$1.78,,$14.14
 13/Oct/2023,7:13:00 AM,James Street - 6 ,7:23:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$12.36
 13/Oct/2023,12:22:00 PM,Adelaide St at City Hall (Stop 20) ,12:30:00 PM,Light Street - 7 ,$1.42,,$10.94
 14/Oct/2023,11:35:00 AM,Fortitude Valley,11:57:00 AM,Indooroopilly,$0.71,,$10.23
 16/Oct/2023,7:16:00 AM,James Street - 6 ,7:25:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$8.45
 16/Oct/2023,16:33 PM,Adelaide St at City Hall (Stop 20) ,16:44 PM,Light Street - 7 ,$1.78,,$6.67
 17/Oct/2023,8:24:00 AM,James Street - 6 ,8:39:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$4.89
 17/Oct/2023,17:21 PM,Auto top up(Adelaide St at City Hall (Stop 20) ),,,,$20.00,$24.89
 17/Oct/2023,17:21 PM,Adelaide St at City Hall (Stop 20) ,17:33 PM,Light Street - 7 ,$1.78,,$23.11
 18/Oct/2023,7:07:00 AM,James Street - 6 ,7:18:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$21.33
 18/Oct/2023,16:47 PM,Adelaide St at City Hall (Stop 20) ,16:59 PM,Light Street - 7 ,$1.78,,$19.55
 19/Oct/2023,7:09:00 AM,James Street - 6 ,7:18:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$17.77
 19/Oct/2023,16:54 PM,Adelaide St at City Hall (Stop 20) ,17:05 PM,Light Street - 7 ,$1.78,,$15.99
 20/Oct/2023,7:08:00 AM,James Street - 6 ,7:18:00 AM,Adelaide St opp City Hall (Stop 43) ,$0.89,,$15.10
 20/Oct/2023,12:54:00 PM,Adelaide St at City Hall (Stop 20) ,13:03 PM,Light Street - 7 ,$0.71,,$14.39
 21/Oct/2023,11:08:00 AM,James Street - 6 ,11:21:00 AM,Cultural Centre Platform 3 ,$0.71,,$13.68
 21/Oct/2023,11:23:00 AM,Cultural Centre Platform 2 (Touch on Transfer),11:35:00 AM,Upper Mt Gravatt station ,$0.16,,$13.52
 21/Oct/2023,14:18 PM,Upper Mt Gravatt station ,14:31 PM,Cultural Centre station ,$0.87,,$12.65
 21/Oct/2023,14:33 PM,Cultural Centre station (Touch on Transfer),14:45 PM,Light Street - 7 ,$0.00,,$12.65
 21/Oct/2023,17:23 PM,James Street - 6 ,17:33 PM,Adelaide St app George St (Stop 47) ,$0.71,,$11.94
 21/Oct/2023,20:13 PM,Adelaide St at City Hall (Stop 20) ,20:21 PM,Light Street - 7 ,$0.71,,$11.23
 23/Oct/2023,7:08:00 AM,James Street - 6 ,7:18:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$9.45
 23/Oct/2023,13:25 PM,Adelaide St opp City Hall (Stop 43) ,13:36 PM,Montague Road - 10 ,$1.42,,$8.03
 23/Oct/2023,14:10 PM,Montague Road - 10 (Touch on Transfer),14:32 PM,Light Street - 7 ,$0.00,,$8.03
 24/Oct/2023,7:55:00 AM,James Street - 6 ,8:06:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$6.25
 24/Oct/2023,15:44 PM,Adelaide St at City Hall (Stop 20) ,15:53 PM,Light Street - 7 ,$1.78,,$4.47
 25/Oct/2023,7:13:00 AM,Auto top up(James Street - 6 ),,,,$20.00,$24.47
 25/Oct/2023,7:13:00 AM,James Street - 6 ,7:23:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$22.69
 25/Oct/2023,15:00 PM,Adelaide St at City Hall (Stop 20) ,15:11 PM,Light Street - 7 ,$1.42,,$21.27
 26/Oct/2023,7:07:00 AM,James Street - 6 ,7:15:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$19.49
 26/Oct/2023,16:58 PM,Adelaide St at City Hall (Stop 20) ,17:10 PM,Light Street - 7 ,$1.78,,$17.71
 27/Oct/2023,7:12:00 AM,James Street - 6 ,7:20:00 AM,Adelaide St opp City Hall (Stop 43) ,$0.89,,$16.82
 27/Oct/2023,12:22:00 PM,Adelaide St at City Hall (Stop 20) ,12:34:00 PM,Skyring Tce ,$0.71,,$16.11
 28/Oct/2023,9:52:00 AM,Light Street - 7 ,10:41:00 AM,Chermside Interchange - Arrival Stop ,$0.87,,$15.24
 28/Oct/2023,13:05 PM,Chermside Interchange - A ,13:40 PM,King George Square Station 2A ,$0.87,,$14.37
 28/Oct/2023,13:54 PM,Adelaide St at City Hall (Stop 20) (Touch on Transfer),14:02 PM,Light Street - 7 ,$0.00,,$14.37
 29/Oct/2023,14:55 PM,Adelaide St at City Hall (Stop 20) ,15:03 PM,Light Street - 7 ,$0.71,,$13.66
 30/Oct/2023,7:11:00 AM,James Street - 6 ,7:21:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$11.88
 31/Oct/2023,8:14:00 AM,James Street - 6 ,8:25:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$10.10
 31/Oct/2023,13:29 PM,Adelaide St at City Hall (Stop 20) ,13:38 PM,Light Street - 7 ,$1.42,,$8.68
 01/Nov/2023,7:13:00 AM,James Street - 6 ,7:23:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$6.90
 01/Nov/2023,17:16 PM,Adelaide St at City Hall (Stop 18) ,17:29 PM,Light Street - 7 ,$1.78,,$5.12
 02/Nov/2023,7:10:00 AM,James Street - 6 ,7:21:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$3.34
 02/Nov/2023,17:03 PM,Auto top up(Adelaide St at City Hall (Stop 20) ),,,,$20.00,$23.34
